timestamp,phase,speed,altitude
14:39:28,takeoff,200,1848
14:39:29,takeoff,195,827
14:39:30,takeoff,240,1229
14:39:31,takeoff,246,765
14:39:32,takeoff,211,1718
14:39:33,takeoff,158,1588
14:39:34,takeoff,240,731
14:39:35,takeoff,226,1282
14:39:36,takeoff,220,796
14:39:37,takeoff,202,972
14:39:38,climb,311,8264
14:39:39,climb,365,4393
14:39:40,climb,318,3248
14:39:41,climb,318,5338
14:39:42,climb,350,7722
14:39:43,climb,433,2425
14:39:44,climb,318,2140
14:39:45,climb,434,7795
14:39:46,climb,484,6682
14:39:47,climb,473,6355
14:39:48,climb,408,5386
14:39:49,climb,390,9188
14:39:50,climb,338,5173
14:39:51,climb,365,7013
14:39:52,climb,306,3683
14:39:53,cruise,793,11993
14:39:54,cruise,679,11186
14:39:55,cruise,603,10223
14:39:56,cruise,786,11260
14:39:57,cruise,773,11460
14:39:58,cruise,643,10405
14:39:59,cruise,882,10386
14:40:00,cruise,695,10174
14:40:01,cruise,659,10203
14:40:02,cruise,789,10498
14:40:03,cruise,753,11273
14:40:04,cruise,743,11732
14:40:05,cruise,694,11030
14:40:06,cruise,659,11318
14:40:07,cruise,691,11213
14:40:08,cruise,772,11299
14:40:09,cruise,836,11041
14:40:10,cruise,848,10805
14:40:11,cruise,502,11437
14:40:12,cruise,887,10137
14:40:13,descent,332,6023
14:40:14,descent,543,7918
14:40:15,descent,469,9645
14:40:16,descent,431,8139
14:40:17,descent,493,9176
14:40:18,descent,333,5178
14:40:19,descent,453,6421
14:40:20,descent,335,8564
14:40:21,descent,539,8421
14:40:22,descent,482,5938
14:40:23,landing,212,3923
14:40:24,landing,187,3441
14:40:25,landing,235,800
14:40:26,landing,125,1187
14:40:27,landing,189,197
14:40:28,landing,119,1014
