timestamp,speed,Altitude
14:16:40,16,8079
14:16:41,19,7579
14:16:42,25,1765
14:16:43,43,2791
14:16:44,67,1477
14:16:45,27,4149
14:16:46,26,7835
14:16:47,22,1227
14:16:48,48,8091
14:16:49,41,5166
14:16:50,24,9812
14:16:51,94,3237
14:16:52,34,2054
14:16:53,45,3801
14:16:54,41,2639
14:16:55,48,8779
14:16:56,18,4224
14:16:57,70,3423
14:16:58,40,4452
14:16:59,74,9758
14:17:00,48,8779
14:17:01,98,6513
14:17:02,89,4817
14:17:03,91,4683
14:17:04,100,2345
14:17:05,92,1825
14:17:06,22,7418
14:17:07,78,2360
14:17:08,21,8038
14:17:09,88,6663
14:17:10,86,8437
14:17:11,37,2964
14:17:12,54,7490
14:17:13,87,9543
14:17:14,51,7977
14:17:15,14,5521
14:17:16,19,9227
14:17:17,100,2339
14:17:18,56,1037
14:17:19,55,2059
14:17:20,31,8266
14:17:21,38,3326
14:17:22,24,7354
14:17:23,82,2682
14:17:24,52,6205
14:17:25,59,7737
14:17:26,83,6244
14:17:27,25,9926
14:17:28,84,3650
14:17:29,11,4798
14:17:30,31,1548
14:17:31,30,3215
14:17:32,13,3297
14:17:33,84,5621
14:17:34,86,7682
14:17:35,80,2427
14:17:36,25,2243
14:17:37,91,7960
14:17:38,99,6075
14:17:39,65,3568
14:17:40,16,4738
